UserID,Risk_Level,Year,Portfolio_Performance,Stock_Count,Buy&Hold_CAGR,Portfolio_CAGR
353,medium,2021,33.382%,3,6.274%,39.655%
354,medium,2021,28.153%,3,3.871%,32.024%
355,medium,2021,28.153%,3,3.871%,32.024%
356,medium,2021,31.182%,3,8.754%,39.936%
357,high,2021,21.958%,3,12.044%,34.002%
358,medium,2021,28.153%,3,3.871%,32.024%
359,medium,2021,40.825%,3,6.598%,47.423%
360,medium,2021,33.382%,3,6.274%,39.655%
361,high,2021,21.958%,3,12.044%,34.002%
362,medium,2021,40.825%,3,6.598%,47.423%
363,low,2021,6.478%,3,8.08%,14.558%
364,low,2021,-24.758%,3,40.714%,15.956%
365,low,2021,5.618%,3,29.172%,34.79%
366,medium,2021,28.153%,3,3.871%,32.024%
367,medium,2021,36.382%,3,47.108%,83.49%
368,medium,2021,34.377%,3,-3.884%,30.494%
369,medium,2021,38.542%,3,8.066%,46.608%
370,medium,2021,40.825%,3,6.598%,47.423%
371,low,2021,-5.444%,3,47.163%,41.72%
372,medium,2021,28.153%,3,3.871%,32.024%
373,medium,2021,22.038%,3,3.591%,25.629%
374,medium,2021,28.153%,3,3.871%,32.024%
375,medium,2021,52.666%,3,16.344%,69.011%
376,low,2021,8.424%,3,27.105%,35.528%
377,medium,2021,25.87%,3,5.338%,31.208%
378,medium,2021,16.2%,3,37.64%,53.84%
379,medium,2021,39.565%,3,11.911%,51.476%
380,high,2021,19.697%,3,53.138%,72.835%
381,medium,2021,28.153%,3,3.871%,32.024%
382,high,2021,19.697%,3,53.138%,72.835%
383,high,2021,19.697%,3,53.138%,72.835%
384,medium,2021,35.733%,3,10.164%,45.896%
385,medium,2021,40.825%,3,6.598%,47.423%
386,medium,2021,28.153%,3,3.871%,32.024%
387,low,2021,-17.833%,3,42.74%,24.907%
388,high,2021,19.697%,3,53.138%,72.835%
389,medium,2021,15.987%,3,20.849%,36.835%
390,low,2021,-0.638%,3,19.398%,18.761%
391,low,2021,-3.805%,3,31.769%,27.964%
392,medium,2021,45.859%,3,14.216%,60.075%
393,medium,2021,33.382%,3,6.274%,39.655%
394,medium,2021,40.213%,3,43.837%,84.05%
395,medium,2021,40.825%,3,6.598%,47.423%
396,medium,2021,28.153%,3,3.871%,32.024%
397,low,2021,-23.092%,3,79.996%,56.903%
398,medium,2021,50.951%,3,10.65%,61.602%
399,high,2021,19.697%,3,53.138%,72.835%
400,high,2021,19.697%,3,53.138%,72.835%
401,medium,2021,44.598%,3,52.064%,96.662%
402,low,2021,5.618%,3,29.172%,34.79%
403,medium,2021,28.153%,3,3.871%,32.024%
404,high,2021,19.697%,3,53.138%,72.835%
405,medium,2021,28.153%,3,3.871%,32.024%
406,high,2021,37.322%,3,-9.209%,28.113%
407,medium,2021,40.825%,3,6.598%,47.423%
408,medium,2021,28.153%,3,3.871%,32.024%
409,medium,2021,19.988%,3,6.071%,26.059%
410,medium,2021,62.07%,3,11.246%,73.316%
411,low,2021,-21.476%,3,47.193%,25.717%
412,low,2021,-0.468%,3,29.875%,29.407%
413,medium,2021,54.966%,3,5.24%,60.207%
414,low,2021,-17.833%,3,42.74%,24.907%
415,medium,2021,40.825%,3,6.598%,47.423%
416,medium,2021,49.578%,3,5.858%,55.436%
417,medium,2021,28.153%,3,3.871%,32.024%
418,medium,2021,28.153%,3,3.871%,32.024%
419,low,2021,2.835%,3,12.533%,15.368%
420,medium,2021,28.153%,3,3.871%,32.024%
421,low,2021,6.478%,3,8.08%,14.558%
422,medium,2021,28.153%,3,3.871%,32.024%
423,medium,2021,28.153%,3,3.871%,32.024%
424,high,2021,19.697%,3,53.138%,72.835%
425,medium,2021,-6.645%,3,47.331%,40.687%
426,medium,2021,28.153%,3,3.871%,32.024%
427,low,2021,-24.758%,3,40.714%,15.956%
428,high,2021,19.697%,3,53.138%,72.835%
429,medium,2021,28.153%,3,3.871%,32.024%
430,medium,2021,22.038%,3,3.591%,25.629%
431,medium,2021,47.542%,3,-3.422%,44.12%
432,medium,2021,23.061%,3,7.436%,30.497%
433,medium,2021,40.825%,3,6.598%,47.423%
434,medium,2021,28.153%,3,3.871%,32.024%
435,low,2021,-5.993%,3,37.265%,31.272%
436,medium,2021,28.153%,3,3.871%,32.024%
437,medium,2021,38.542%,3,8.066%,46.608%
438,medium,2021,18.023%,3,9.001%,27.024%
439,medium,2021,31.182%,3,8.754%,39.936%
440,medium,2021,28.153%,3,3.871%,32.024%
441,medium,2021,40.825%,3,6.598%,47.423%
442,medium,2021,28.153%,3,3.871%,32.024%
443,medium,2021,28.153%,3,3.871%,32.024%
444,medium,2021,39.645%,3,24.931%,64.576%
445,low,2021,-21.476%,3,47.193%,25.717%
446,medium,2021,9.025%,3,-2.009%,7.016%
447,low,2021,-14.531%,3,25.398%,10.867%
448,medium,2021,-6.645%,3,47.331%,40.687%
449,medium,2021,28.153%,3,3.871%,32.024%
450,medium,2021,28.153%,3,3.871%,32.024%
451,low,2021,-17.901%,3,66.222%,48.32%
452,high,2021,71.82%,3,-4.942%,66.879%
453,medium,2021,22.772%,3,26.993%,49.765%
454,medium,2021,63.972%,3,2.064%,66.036%
455,medium,2021,11.729%,3,6.696%,18.425%
456,medium,2021,28.153%,3,3.871%,32.024%
457,medium,2021,32.726%,3,32.532%,65.258%
458,medium,2021,54.966%,3,5.24%,60.207%
459,medium,2021,33.382%,3,6.274%,39.655%
460,medium,2021,32.726%,3,32.532%,65.258%
461,medium,2021,23.255%,3,2.221%,25.477%
462,medium,2021,50.951%,3,10.65%,61.602%
463,medium,2021,40.825%,3,6.598%,47.423%
464,medium,2021,28.153%,3,3.871%,32.024%
465,low,2021,0.672%,1,31.249%,31.92%
466,high,2021,21.958%,3,12.044%,34.002%
467,high,2021,21.958%,3,12.044%,34.002%
468,medium,2021,19.144%,3,59.982%,79.127%
469,medium,2021,40.825%,3,6.598%,47.423%
470,medium,2021,28.153%,3,3.871%,32.024%
471,medium,2021,25.87%,3,5.338%,31.208%
472,medium,2021,39.565%,3,11.911%,51.476%
473,medium,2021,48.669%,3,12.118%,60.786%
474,low,2021,-12.6%,3,64.441%,51.84%
475,low,2021,-17.833%,3,42.74%,24.907%
476,medium,2021,28.153%,3,3.871%,32.024%
477,medium,2021,57.674%,3,8.941%,66.616%
478,medium,2021,28.153%,3,3.871%,32.024%
479,high,2021,28.649%,3,14.072%,42.72%
480,medium,2021,28.153%,3,3.871%,32.024%
481,medium,2021,47.542%,3,-3.422%,44.12%
482,medium,2021,38.542%,3,8.066%,46.608%
483,medium,2021,21.855%,3,10.748%,32.603%
484,high,2021,19.697%,3,53.138%,72.835%
485,medium,2021,35.733%,3,10.164%,45.896%
486,medium,2021,45.859%,3,14.216%,60.075%
487,medium,2021,32.726%,3,32.532%,65.258%
488,medium,2021,20.52%,3,50.956%,71.475%
489,medium,2021,28.153%,3,3.871%,32.024%
490,medium,2021,11.729%,3,6.696%,18.425%
491,medium,2021,28.153%,3,3.871%,32.024%
492,low,2021,2.928%,3,35.498%,38.426%
493,low,2021,-17.833%,3,42.74%,24.907%
494,medium,2021,28.153%,3,3.871%,32.024%
495,medium,2021,28.153%,3,3.871%,32.024%
496,medium,2021,40.825%,3,6.598%,47.423%
497,medium,2021,22.038%,3,3.591%,25.629%
498,medium,2021,28.153%,3,3.871%,32.024%
499,medium,2021,40.825%,3,6.598%,47.423%
500,high,2021,19.697%,3,53.138%,72.835%
501,medium,2021,28.153%,3,3.871%,32.024%
502,high,2021,19.697%,3,53.138%,72.835%
503,medium,2021,21.855%,3,10.748%,32.603%
504,medium,2021,28.153%,3,3.871%,32.024%
505,medium,2021,22.933%,3,28.413%,51.346%
506,high,2021,107.82%,3,6.465%,114.285%
507,medium,2021,31.182%,3,8.754%,39.936%
508,medium,2021,36.382%,3,47.108%,83.49%
509,medium,2021,28.153%,3,3.871%,32.024%
510,medium,2021,22.038%,3,3.591%,25.629%
511,low,2021,-3.737%,3,23.261%,19.525%
512,medium,2021,33.278%,3,82.806%,116.084%
513,medium,2021,28.153%,3,3.871%,32.024%
514,medium,2021,44.657%,3,8.345%,53.003%
515,medium,2021,44.657%,3,8.345%,53.003%
516,medium,2021,47.542%,3,-3.422%,44.12%
517,low,2021,-21.476%,3,47.193%,25.717%
518,medium,2021,22.772%,3,26.993%,49.765%
519,medium,2021,18.023%,3,9.001%,27.024%
521,medium,2021,50.951%,3,10.65%,61.602%
522,low,2021,-17.901%,3,66.222%,48.32%
523,high,2021,107.82%,3,6.465%,114.285%
524,medium,2021,40.825%,3,6.598%,47.423%
525,medium,2021,62.07%,3,11.246%,73.316%
526,high,2021,24.783%,3,-4.135%,20.648%
527,medium,2021,28.153%,3,3.871%,32.024%
528,medium,2021,28.153%,3,3.871%,32.024%
529,medium,2021,28.153%,3,3.871%,32.024%
530,medium,2021,48.669%,3,12.118%,60.786%
531,medium,2021,-9.978%,3,16.842%,6.864%
532,low,2021,-21.476%,3,47.193%,25.717%
533,medium,2021,22.038%,3,3.591%,25.629%
534,medium,2021,28.153%,3,3.871%,32.024%
535,high,2021,107.82%,3,6.465%,114.285%
536,medium,2021,28.153%,3,3.871%,32.024%
537,medium,2021,31.182%,3,8.754%,39.936%
