Sector,Stock,Model,Volatility
Traveling,MAR,XGB,23.589419742959425
Telecommunication,TMUS,CNN_LSTM_CLASS,23.579530973969373
Semiconductors,QCOM,[5]SVC,23.51940404573778
Airline,LMT,XGB,23.516489047960736
Luxury Goods,RACE,[5]SVR,23.392130264970167
Social Media,TWTR,CNN_LSTM_REG,23.310734580159988
Telecommunication,CHTR,XGB,23.237168092355425
Social Media,TWTR,TWAP,23.15994962573681
Cloud Computing,AMZN,XGB,23.02144217897741
Energy & Resources,DD,CNN_LSTM_CLASS,22.923660058467767
Social Media,SNAP,XGB,22.88904650700854
Energy & Resources,DD,[5]SVR,22.81754546291912
Semiconductors,QCOM,TWAP,22.745802124473744
Airline,BA,CNN_LSTM_CLASS,22.741806478482797
Retail,HD,[5]SVR,22.583299455254856
Telecommunication,CHTR,[5]SVR,22.48748900844116
Cloud Computing,GOOG,CAT,22.46883463822724
Traveling,BKNG,CAT,22.204680759223887
Franchise,SBUX,TWAP,22.089527253558742
Franchise,SBUX,XGB,21.83774441082185
Telecommunication,CHTR,[5]SVC,21.785047405874295
Cloud Computing,CRM,CAT,21.51000686280912
Real Estate,HST,[5]SVR,21.34072610002271
Luxury Goods,RACE,[5]SVC,21.309741708117127
Energy & Resources,DD,CAT,21.163981081972626
Traveling,BKNG,TWAP,21.14974028884786
Blockchain,FB,CNN_LSTM_CLASS,21.071359596335856
Entertainment,FB,CNN_LSTM_CLASS,21.071359596335856
Social Media,FB,CNN_LSTM_CLASS,21.071359596335856
Retail,HD,TWAP,20.746989225060148
Real Estate,EQR,[5]SVC,20.672575921691404
Energy & Resources,DD,XGB,20.662469197395875
Semiconductors,QCOM,XGB,20.51671745767571
Retail,HD,CNN_LSTM_CLASS,20.45056396940355
Traveling,MAR,CAT,20.15044912650832
Airline,LMT,CAT,20.05037893003759
Franchise,MCD,CAT,19.662374269267733
Traveling,MAR,[5]SVR,19.51483916457032
Airline,LMT,[5]SVC,19.493677118980084
Cloud Computing,CRM,TWAP,19.418397388632695
Airline,GD,[5]SVR,19.389080260118924
Traveling,BKNG,CNN_LSTM_CLASS,19.09081005540175
Franchise,DPZ,[5]SVC,19.082356972319943
Semiconductors,QCOM,CNN_LSTM_CLASS,18.89574265479371
Real Estate,EQR,[5]SVR,18.712484246263685
Cloud Computing,GOOG,[5]SVC,18.47360414212668
Real Estate,PLD,[5]SVC,18.26511559281921
Luxury Goods,EL,[5]SVC,18.0689457357091
Franchise,YUM,[5]SVR,17.77930297524946
Franchise,MCD,XGB,17.68186803318182
Franchise,MCD,[5]SVR,17.67065026965281
Telecommunication,CMCSA,[5]SVR,17.572304778773194
Real Estate,HST,CNN_LSTM_CLASS,17.38930774382706
Real Estate,PLD,[5]SVR,17.33572488080199
Franchise,YUM,[5]SVC,17.274672073243394
Luxury Goods,EL,TWAP,17.21550934200792
Cloud Computing,CRM,[5]SVC,17.174196175824772
Retail,HD,[5]SVC,16.912301665327746
Traveling,MAR,[5]SVC,16.882480493667025
Retail,COST,[5]SVR,16.65361064811615
Retail,TGT,[5]SVC,16.64096737687131
Real Estate,HST,CAT,16.631808308751264
Semiconductors,NVDA,CNN_LSTM_REG,16.588472331282176
Blockchain,NVDA,CNN_LSTM_REG,16.588472331282176
Retail,COST,CAT,16.56942235392825
Franchise,DPZ,CNN_LSTM_CLASS,16.559306978827575
Telecommunication,CMCSA,TWAP,16.521643380729415
Franchise,YUM,TWAP,16.440496169085478
Traveling,MAR,CNN_LSTM_CLASS,16.333009229048713
Telecommunication,CMCSA,[5]SVC,16.282582426513013
Real Estate,SPG,[5]SVR,16.259020939305106
Real Estate,PLD,XGB,16.149837681625694
Real Estate,HST,[5]SVC,16.06500618765906
Airline,GD,XGB,16.053514375660047
