UserID,Risk_Level,Year,Portfolio_Performance,Stock_Count,Buy&Hold_CAGR,Portfolio_CAGR
1,low,2020,12.241%,3,-28.017%,-15.775%
2,medium,2020,17.364%,3,40.381%,57.744%
3,low,2020,11.636%,3,-11.558%,0.077%
4,medium,2020,52.999%,3,-8.832%,44.166%
5,medium,2020,52.999%,3,-8.832%,44.166%
6,medium,2020,52.999%,3,-8.832%,44.166%
7,medium,2020,-3.272%,3,42.383%,39.111%
8,medium,2020,52.999%,3,-8.832%,44.166%
9,low,2020,11.636%,3,-11.558%,0.077%
10,medium,2020,108.332%,3,22.071%,130.403%
11,low,2020,11.636%,3,-11.558%,0.077%
12,medium,2020,61.26%,3,9.164%,70.424%
13,low,2020,16.348%,3,-6.484%,9.864%
14,medium,2020,52.999%,3,-8.832%,44.166%
15,low,2020,8.61%,3,13.362%,21.972%
16,medium,2020,41.686%,3,25.652%,67.338%
17,low,2020,26.616%,3,8.473%,35.089%
18,low,2020,11.636%,3,-11.558%,0.077%
19,medium,2020,52.999%,3,-8.832%,44.166%
20,medium,2020,89.946%,3,7.389%,97.334%
21,high,2020,15.855%,3,65.873%,81.728%
22,medium,2020,-52.268%,3,84.473%,32.205%
23,low,2020,12.241%,3,-28.017%,-15.775%
24,low,2020,16.348%,3,-6.484%,9.864%
25,medium,2020,75.401%,3,-27.313%,48.088%
26,medium,2020,121.663%,3,4.219%,125.882%
27,low,2020,58.842%,3,-16.619%,42.223%
28,medium,2020,52.999%,3,-8.832%,44.166%
29,medium,2020,89.946%,3,7.389%,97.334%
30,low,2020,17.668%,3,-14.791%,2.877%
31,medium,2020,110.115%,3,-3.768%,106.347%
32,low,2020,27.222%,3,-7.985%,19.236%
33,medium,2020,135.166%,3,-0.827%,134.339%
34,medium,2020,41.686%,3,25.652%,67.338%
35,medium,2020,109.52%,3,-9.099%,100.421%
36,high,2020,29.666%,3,87.4%,117.066%
37,medium,2020,52.999%,3,-8.832%,44.166%
38,high,2020,81.505%,3,49.189%,130.694%
39,low,2020,22.509%,3,-13.059%,9.45%
40,high,2020,29.666%,3,87.4%,117.066%
41,medium,2020,18.207%,3,27.943%,46.15%
42,medium,2020,2.86%,3,44.069%,46.93%
43,medium,2020,135.166%,3,-0.827%,134.339%
44,medium,2020,6.086%,3,32.059%,38.144%
45,medium,2020,52.999%,3,-8.832%,44.166%
46,medium,2020,61.26%,3,9.164%,70.424%
47,medium,2020,108.422%,3,28.908%,137.33%
48,medium,2020,-20.769%,3,40.753%,19.984%
49,medium,2020,52.999%,3,-8.832%,44.166%
50,medium,2020,52.999%,3,-8.832%,44.166%
51,medium,2020,41.686%,3,25.652%,67.338%
52,low,2020,34.226%,3,24.095%,58.321%
53,medium,2020,52.999%,3,-8.832%,44.166%
54,medium,2020,52.999%,3,-8.832%,44.166%
55,medium,2020,52.999%,3,-8.832%,44.166%
56,low,2020,17.668%,3,-14.791%,2.877%
57,low,2020,25.023%,3,24.617%,49.64%
58,medium,2020,89.946%,3,7.389%,97.334%
59,low,2020,25.023%,3,24.617%,49.64%
60,high,2020,77.393%,3,20.34%,97.733%
61,low,2020,29.297%,3,3.306%,32.603%
62,medium,2020,98.207%,3,25.385%,123.592%
63,medium,2020,28.43%,3,14.112%,42.542%
64,medium,2020,68.27%,3,-17.605%,50.665%
65,medium,2020,18.207%,3,27.943%,46.15%
66,high,2020,29.666%,3,87.4%,117.066%
67,medium,2020,118.377%,3,14.228%,132.605%
68,medium,2020,52.999%,3,-8.832%,44.166%
69,medium,2020,51.753%,3,23.397%,75.149%
70,medium,2020,51.215%,3,17.007%,68.222%
71,low,2020,23.446%,3,24.054%,47.5%
72,medium,2020,61.26%,3,9.164%,70.424%
73,medium,2020,52.999%,3,-8.832%,44.166%
74,medium,2020,109.52%,3,-9.099%,100.421%
75,medium,2020,52.999%,3,-8.832%,44.166%
76,high,2020,63.228%,3,32.666%,95.894%
77,medium,2020,52.999%,3,-8.832%,44.166%
78,medium,2020,52.999%,3,-8.832%,44.166%
79,medium,2020,19.316%,3,37.89%,57.205%
80,high,2020,29.666%,3,87.4%,117.066%
81,medium,2020,41.686%,3,25.652%,67.338%
82,medium,2020,52.999%,3,-8.832%,44.166%
83,medium,2020,25.57%,3,8.734%,34.304%
84,medium,2020,41.686%,3,25.652%,67.338%
85,medium,2020,-15.073%,3,54.874%,39.8%
86,medium,2020,52.999%,3,-8.832%,44.166%
87,medium,2020,-52.268%,3,84.473%,32.205%
88,medium,2020,-15.073%,3,54.874%,39.8%
89,medium,2020,12.905%,3,36.226%,49.131%
90,medium,2020,52.999%,3,-8.832%,44.166%
91,medium,2020,89.946%,3,7.389%,97.334%
92,medium,2020,5.995%,3,25.222%,31.218%
93,medium,2020,98.802%,3,30.717%,129.518%
