UserID,Risk_Level,Year,Portfolio_Performance,Stock_Count,Buy&Hold_CAGR,Portfolio_CAGR
1,low,2019,-2.676%,3,17.686%,15.01%
2,medium,2019,8.323%,3,37.224%,45.546%
3,low,2019,0.323%,3,27.072%,27.395%
4,medium,2019,13.219%,3,15.212%,28.432%
5,medium,2019,13.219%,3,15.212%,28.432%
6,medium,2019,13.219%,3,15.212%,28.432%
7,medium,2019,-4.326%,3,43.981%,39.655%
8,medium,2019,13.219%,3,15.212%,28.432%
9,low,2019,0.323%,3,27.072%,27.395%
10,medium,2019,31.351%,3,47.726%,79.077%
11,low,2019,0.323%,3,27.072%,27.395%
12,medium,2019,8.797%,3,29.414%,38.211%
13,low,2019,2.735%,3,41.307%,44.042%
14,medium,2019,13.219%,3,15.212%,28.432%
15,low,2019,-17.525%,3,19.705%,2.181%
16,medium,2019,10.101%,3,20.172%,30.273%
17,low,2019,1.609%,3,38.084%,39.693%
18,low,2019,0.323%,3,27.072%,27.395%
19,medium,2019,13.219%,3,15.212%,28.432%
20,medium,2019,37.481%,3,3.404%,40.885%
21,high,2019,19.268%,3,14.743%,34.011%
22,medium,2019,62.375%,3,62.378%,124.753%
23,low,2019,-2.676%,3,17.686%,15.01%
24,low,2019,2.735%,3,41.307%,44.042%
25,medium,2019,15.27%,3,14.064%,29.334%
26,medium,2019,42.762%,3,16.681%,59.442%
27,low,2019,5.483%,3,2.271%,7.753%
28,medium,2019,13.219%,3,15.212%,28.432%
29,medium,2019,37.481%,3,3.404%,40.885%
30,low,2019,-0.307%,3,24.64%,24.334%
31,medium,2019,34.775%,3,15.29%,50.065%
32,low,2019,-1.39%,3,28.698%,27.308%
33,medium,2019,38.487%,3,16.58%,55.067%
34,medium,2019,10.101%,3,20.172%,30.273%
35,medium,2019,36.177%,3,12.646%,48.823%
36,high,2019,-38.743%,3,119.499%,80.756%
37,medium,2019,13.219%,3,15.212%,28.432%
38,high,2019,34.63%,3,14.059%,48.689%
39,low,2019,-3.802%,3,14.463%,10.661%
40,high,2019,-38.743%,3,119.499%,80.756%
41,medium,2019,19.227%,3,27.096%,46.323%
42,medium,2019,3.234%,3,43.284%,46.518%
43,medium,2019,38.487%,3,16.58%,55.067%
44,medium,2019,11.179%,3,3.699%,14.879%
45,medium,2019,13.219%,3,15.212%,28.432%
46,medium,2019,8.797%,3,29.414%,38.211%
47,medium,2019,33.741%,3,16.953%,50.694%
48,medium,2019,-6.363%,3,38.768%,32.405%
49,medium,2019,13.219%,3,15.212%,28.432%
50,medium,2019,13.219%,3,15.212%,28.432%
51,medium,2019,10.101%,3,20.172%,30.273%
52,low,2019,9.997%,3,26.331%,36.328%
53,medium,2019,13.219%,3,15.212%,28.432%
54,medium,2019,13.219%,3,15.212%,28.432%
55,medium,2019,13.219%,3,15.212%,28.432%
56,low,2019,-0.307%,3,24.64%,24.334%
57,low,2019,-1.531%,3,46.747%,45.216%
58,medium,2019,37.481%,3,3.404%,40.885%
59,low,2019,-1.531%,3,46.747%,45.216%
60,high,2019,-2.344%,3,32.942%,30.598%
61,low,2019,8.208%,3,24.114%,32.322%
62,medium,2019,33.059%,3,17.605%,50.664%
63,medium,2019,21.774%,3,19.088%,40.862%
64,medium,2019,35.738%,3,-8.321%,27.417%
65,medium,2019,19.227%,3,27.096%,46.323%
66,high,2019,-38.743%,3,119.499%,80.756%
67,medium,2019,30.353%,3,29.491%,59.844%
68,medium,2019,13.219%,3,15.212%,28.432%
69,medium,2019,12.089%,3,16.216%,28.305%
70,medium,2019,9.795%,3,47.648%,57.444%
71,low,2019,18.46%,3,29.67%,48.13%
72,medium,2019,8.797%,3,29.414%,38.211%
73,medium,2019,13.219%,3,15.212%,28.432%
74,medium,2019,36.177%,3,12.646%,48.823%
75,medium,2019,13.219%,3,15.212%,28.432%
76,high,2019,34.46%,3,8.291%,42.751%
