,Sector,Stock,Range_Start,Range_End,Buy&Hold_Profit,WithModel_Profit,Buy&Hold_CAGR(in %),WithModel_CAGR(in %),CAGR_Performance(in %),Buy&Hold_MDD(in %),WithModel_MDD(in %),MDD_Performance(in %)
0,BlockChain,COIN,20210101,20211231,-1762.85,3594.22,-17.63,35.94,53.57,-42.04,-41.04,1.0
1,BlockChain,NVDA,20120101,20121231,-1779.99,-943.88,-17.8,-9.44,8.36,-29.79,-29.17,0.62
2,BlockChain,NVDA,20130101,20131231,2978.12,3630.5,29.78,36.3,6.52,-27.53,-27.53,0.0
3,BlockChain,NVDA,20140101,20141231,2880.98,2961.77,28.81,29.62,0.81,-28.47,-28.18,0.28
4,BlockChain,NVDA,20150101,20151231,6994.78,7308.15,69.95,73.08,3.13,-43.67,-43.66,0.01
5,BlockChain,NVDA,20160101,20161231,27880.18,30600.84,278.8,306.01,27.21,-79.48,-79.48,0.0
6,BlockChain,NVDA,20170101,20171231,8452.01,9860.28,84.52,98.6,14.08,-55.94,-55.93,0.01
7,BlockChain,NVDA,20180101,20181231,-3879.29,-3832.07,-38.79,-38.32,0.47,-56.23,-56.03,0.2
8,BlockChain,NVDA,20190101,20191231,6312.14,5334.43,63.12,53.34,-9.78,-44.23,-44.17,0.06
9,BlockChain,NVDA,20200101,20201231,11545.53,11179.05,115.46,111.79,-3.66,-66.0,-65.86,0.14
10,BlockChain,NVDA,20210101,20211231,12030.4,12661.22,120.3,126.61,6.31,-63.82,-63.54,0.28
11,BlockChain,FB,20120101,20121231,-2035.08,3825.54,-20.35,38.26,58.61,-45.05,-38.2,6.84
12,BlockChain,FB,20130101,20131231,8210.22,3016.43,82.1,30.16,-51.94,-60.58,-42.99,17.59
13,BlockChain,FB,20140101,20141231,3544.61,3870.0,35.45,38.7,3.25,-34.12,-34.05,0.08
14,BlockChain,FB,20150101,20151231,3525.63,4277.68,35.26,42.78,7.52,-31.95,-31.79,0.16
15,BlockChain,FB,20160101,20161231,1900.88,2061.72,19.01,20.62,1.61,-30.46,-30.35,0.12
16,BlockChain,FB,20170101,20171231,4249.41,3813.49,42.49,38.13,-4.36,-32.24,-30.39,1.84
17,BlockChain,FB,20180101,20181231,-2825.91,-2469.48,-28.26,-24.69,3.56,-42.93,-42.45,0.49
18,BlockChain,FB,20190101,20191231,4207.17,3679.67,42.07,36.8,-5.27,-31.95,-30.66,1.29
19,BlockChain,FB,20200101,20201231,2445.81,2170.02,24.46,21.7,-2.76,-53.44,-52.64,0.81
20,BlockChain,FB,20210101,20211231,3131.38,3267.49,31.31,32.67,1.36,-35.05,-32.29,2.76
21,Airline,BA,20120101,20121231,171.77,188.46,1.72,1.88,0.17,-12.52,-12.44,0.07
22,Airline,BA,20130101,20131231,8518.68,8769.2,85.19,87.69,2.51,-49.12,-49.04,0.08
23,Airline,BA,20140101,20141231,-438.74,-359.39,-4.39,-3.59,0.79,-15.67,-15.6,0.06
24,Airline,BA,20150101,20151231,1354.71,1528.85,13.55,15.29,1.74,-19.46,-19.44,0.02
25,Airline,BA,20160101,20161231,2353.76,2705.96,23.54,27.06,3.52,-35.51,-35.28,0.23
26,Airline,BA,20170101,20171231,9079.59,9303.55,90.8,93.04,2.24,-48.68,-48.53,0.16
27,Airline,BA,20180101,20181231,504.64,-328.32,5.05,-3.28,-8.33,-23.23,-23.19,0.04
28,Airline,BA,20190101,20191231,-287.58,-555.97,-2.88,-5.56,-2.68,-26.89,-26.75,0.13
29,Airline,BA,20200101,20201231,-3506.89,-3390.44,-35.07,-33.9,1.16,-71.42,-70.59,0.83
30,Airline,BA,20210101,20211231,-45.64,-234.89,-0.46,-2.35,-1.89,-31.38,-31.24,0.14
31,Airline,GD,20120101,20121231,-26.69,-269.95,-0.27,-2.7,-2.43,-15.93,-15.89,0.04
32,Airline,GD,20130101,20131231,3709.92,3698.6,37.1,36.99,-0.11,-33.03,-32.98,0.06
33,Airline,GD,20140101,20141231,4937.26,4795.27,49.37,47.95,-1.42,-36.26,-35.45,0.81
34,Airline,GD,20150101,20151231,199.86,219.42,2.0,2.19,0.2,-14.13,-14.08,0.05
35,Airline,GD,20160101,20161231,3469.84,3889.34,34.7,38.89,4.19,-32.12,-31.96,0.15
36,Airline,GD,20170101,20171231,1707.42,1780.62,17.07,17.81,0.73,-19.36,-19.29,0.07
37,Airline,GD,20180101,20181231,-2250.85,-2317.87,-22.51,-23.18,-0.67,-34.64,-34.33,0.31
38,Airline,GD,20190101,20191231,1290.45,1052.94,12.9,10.53,-2.38,-18.94,-17.35,1.59
39,Airline,GD,20200101,20201231,-1553.51,-1638.24,-15.54,-16.38,-0.85,-40.67,-40.35,0.32
40,Airline,GD,20210101,20211231,4153.63,3638.91,41.54,36.39,-5.15,-30.8,-30.57,0.23
41,Airline,LMT,20120101,20121231,1787.95,1650.03,17.88,16.5,-1.38,-17.95,-17.07,0.88
42,Airline,LMT,20130101,20131231,6466.92,6357.47,64.67,63.57,-1.09,-44.49,-44.37,0.12
43,Airline,LMT,20140101,20141231,3466.77,3124.98,34.67,31.25,-3.42,-28.29,-28.14,0.15
44,Airline,LMT,20150101,20151231,1571.1,1762.84,15.71,17.63,1.92,-19.08,-18.89,0.19
45,Airline,LMT,20160101,20161231,1967.32,1858.08,19.67,18.58,-1.09,-27.17,-26.85,0.32
46,Airline,LMT,20170101,20171231,2750.8,2970.45,27.51,29.7,2.2,-24.69,-24.5,0.19
47,Airline,LMT,20180101,20181231,-1818.87,-1837.68,-18.19,-18.38,-0.19,-30.22,-29.43,0.79
48,Airline,LMT,20190101,20191231,4792.28,4485.57,47.92,44.86,-3.07,-33.41,-32.54,0.87
49,Airline,LMT,20200101,20201231,-1106.34,-1359.44,-11.06,-13.59,-2.53,-35.02,-34.64,0.38
50,Airline,LMT,20210101,20211231,829.76,362.24,8.3,3.62,-4.68,-18.93,-18.62,0.32
51,Traveling,UBER,20190101,20191231,-3068.06,263.09,-30.68,2.63,33.31,-44.53,-14.98,29.55
52,Traveling,UBER,20200101,20201231,5455.7,3725.55,54.56,37.26,-17.3,-70.76,-44.37,26.39
53,Traveling,UBER,20210101,20211231,-1994.03,-2458.21,-19.94,-24.58,-4.64,-44.27,-44.21,0.06
54,Traveling,ABNB,20200101,20201231,264.17,-765.05,2.64,-7.65,-10.29,-15.88,-5.73,10.15
55,Traveling,ABNB,20210101,20211231,1387.97,-341.12,13.88,-3.41,-17.29,-39.9,-34.04,5.87
56,Traveling,MAR,20120101,20121231,1074.58,870.5,10.75,8.71,-2.04,-20.3,-18.77,1.53
57,Traveling,MAR,20130101,20131231,2755.67,2761.05,27.56,27.61,0.05,-23.56,-23.45,0.11
58,Traveling,MAR,20140101,20141231,6193.84,5929.97,61.94,59.3,-2.64,-40.41,-40.31,0.1
59,Traveling,MAR,20150101,20151231,-1265.03,-885.96,-12.65,-8.86,3.79,-22.76,-22.73,0.03
60,Traveling,MAR,20160101,20161231,3412.18,4022.29,34.12,40.22,6.1,-33.89,-33.83,0.06
61,Traveling,MAR,20170101,20171231,6825.45,6733.13,68.25,67.33,-0.92,-39.82,-39.36,0.46
62,Traveling,MAR,20180101,20181231,-2012.72,-2219.05,-20.13,-22.19,-2.06,-30.56,-30.37,0.19
63,Traveling,MAR,20190101,20191231,3963.91,3968.52,39.64,39.69,0.05,-30.94,-30.78,0.15
64,Traveling,MAR,20200101,20201231,-1132.43,-1150.64,-11.32,-11.51,-0.18,-58.97,-58.27,0.7
65,Traveling,MAR,20210101,20211231,2888.82,2921.82,28.89,29.22,0.33,-30.75,-30.61,0.15
66,Traveling,BKNG,20120101,20121231,2505.58,2196.83,25.06,21.97,-3.09,-38.38,-35.2,3.18
67,Traveling,BKNG,20130101,20131231,7495.23,7417.49,74.95,74.17,-0.78,-45.37,-44.53,0.83
68,Traveling,BKNG,20140101,20141231,-91.29,-161.4,-0.91,-1.61,-0.7,-24.85,-23.5,1.35
69,Traveling,BKNG,20150101,20151231,1813.84,2880.71,18.14,28.81,10.67,-32.41,-32.35,0.05
70,Traveling,BKNG,20160101,20161231,2775.38,3451.68,27.75,34.52,6.76,-39.51,-39.23,0.28
71,Traveling,BKNG,20170101,20171231,1378.28,1316.68,13.78,13.17,-0.62,-25.07,-23.22,1.85
72,Traveling,BKNG,20180101,20181231,-668.26,-990.17,-6.68,-9.9,-3.22,-26.65,-25.82,0.83
73,Traveling,BKNG,20190101,20191231,2420.03,1761.22,24.2,17.61,-6.59,-20.86,-17.75,3.11
74,Traveling,BKNG,20200101,20201231,500.14,496.09,5.0,4.96,-0.04,-46.96,-39.34,7.62
75,Traveling,BKNG,20210101,20211231,550.38,1020.33,5.5,10.2,4.7,-26.69,-23.48,3.21
76,Semiconductors,INTC,20120101,20121231,-1836.19,0.0,-18.36,0.0,18.36,-32.01,0.0,32.01
77,Semiconductors,INTC,20130101,20131231,2640.74,0.0,26.41,0.0,-26.41,-23.27,0.0,23.27
78,Semiconductors,INTC,20140101,20141231,4835.78,-86.58,48.36,-0.87,-49.22,-38.67,-5.05,33.61
79,Semiconductors,INTC,20150101,20151231,-250.27,-63.75,-2.5,-0.64,1.87,-30.26,-3.59,26.67
80,Semiconductors,INTC,20160101,20161231,1938.31,-892.55,19.38,-8.93,-28.31,-28.42,-12.93,15.49
81,Semiconductors,INTC,20170101,20171231,2991.98,1697.22,29.92,16.97,-12.95,-30.98,-17.79,13.19
82,Semiconductors,INTC,20180101,20181231,791.35,1364.51,7.91,13.65,5.73,-25.86,-24.17,1.7
83,Semiconductors,INTC,20190101,20191231,2735.94,1183.0,27.36,11.83,-15.53,-28.63,-23.76,4.87
84,Semiconductors,INTC,20200101,20201231,-1540.81,-1890.8,-15.41,-18.91,-3.5,-33.95,-36.37,-2.42
85,Semiconductors,INTC,20210101,20211231,371.49,-950.33,3.71,-9.5,-13.22,-28.58,-29.56,-0.99
86,Semiconductors,NVDA,20120101,20121231,-1779.99,-943.88,-17.8,-9.44,8.36,-29.79,-29.17,0.62
87,Semiconductors,NVDA,20130101,20131231,2978.12,3630.5,29.78,36.3,6.52,-27.53,-27.53,0.0
88,Semiconductors,NVDA,20140101,20141231,2880.98,2961.77,28.81,29.62,0.81,-28.47,-28.18,0.28
89,Semiconductors,NVDA,20150101,20151231,6994.78,7308.15,69.95,73.08,3.13,-43.67,-43.66,0.01
90,Semiconductors,NVDA,20160101,20161231,27880.18,30600.84,278.8,306.01,27.21,-79.48,-79.48,0.0
91,Semiconductors,NVDA,20170101,20171231,8452.01,9860.28,84.52,98.6,14.08,-55.94,-55.93,0.01
92,Semiconductors,NVDA,20180101,20181231,-3879.29,-3832.07,-38.79,-38.32,0.47,-56.23,-56.03,0.2
