,Sector,Stock,Range_Start,Range_End,Buy&Hold_Profit,WithModel_Profit,Buy&Hold_CAGR(in %),WithModel_CAGR(in %),CAGR_Performance(in %),Buy&Hold_MDD(in %),WithModel_MDD(in %),MDD_Performance(in %)
0,BlockChain,COIN,20210101,20211231,-1762.85,-1495.9,-17.63,-14.96,2.67,-42.04,-36.34,5.71
1,BlockChain,NVDA,20120101,20121231,-1779.99,-446.15,-17.8,-4.46,13.34,-29.79,-24.69,5.1
2,BlockChain,NVDA,20130101,20131231,2978.12,4232.96,29.78,42.33,12.55,-27.53,-35.38,-7.85
3,BlockChain,NVDA,20140101,20141231,2880.98,2623.35,28.81,26.23,-2.58,-28.47,-27.59,0.88
4,BlockChain,NVDA,20150101,20151231,6994.78,5204.49,69.95,52.04,-17.9,-43.67,-39.97,3.7
5,BlockChain,NVDA,20160101,20161231,27880.18,25310.84,278.8,253.11,-25.69,-79.48,-74.73,4.75
6,BlockChain,NVDA,20170101,20171231,8452.01,9212.42,84.52,92.12,7.6,-55.94,-53.24,2.69
7,BlockChain,NVDA,20180101,20181231,-3879.29,-2227.29,-38.79,-22.27,16.52,-56.23,-53.19,3.04
8,BlockChain,NVDA,20190101,20191231,6312.14,4906.52,63.12,49.07,-14.06,-44.23,-43.03,1.2
9,BlockChain,NVDA,20200101,20201231,11545.53,18042.33,115.46,180.42,64.97,-66.0,-71.27,-5.26
10,BlockChain,NVDA,20210101,20211231,12030.4,13082.99,120.3,130.83,10.53,-63.82,-62.74,1.08
11,BlockChain,FB,20120101,20121231,-2035.08,-1662.19,-20.35,-16.62,3.73,-45.05,-46.39,-1.34
12,BlockChain,FB,20130101,20131231,8210.22,7036.48,82.1,70.36,-11.74,-60.58,-58.89,1.69
13,BlockChain,FB,20140101,20141231,3544.61,3862.52,35.45,38.63,3.18,-34.12,-32.81,1.32
14,BlockChain,FB,20150101,20151231,3525.63,2929.63,35.26,29.3,-5.96,-31.95,-31.73,0.22
15,BlockChain,FB,20160101,20161231,1900.88,3582.26,19.01,35.82,16.81,-30.46,-38.19,-7.72
16,BlockChain,FB,20170101,20171231,4249.41,4859.32,42.49,48.59,6.1,-32.24,-34.58,-2.35
17,BlockChain,FB,20180101,20181231,-2825.91,-1805.78,-28.26,-18.06,10.2,-42.93,-43.85,-0.91
18,BlockChain,FB,20190101,20191231,4207.17,6100.28,42.07,61.0,18.93,-31.95,-39.69,-7.74
19,BlockChain,FB,20200101,20201231,2445.81,2050.89,24.46,20.51,-3.95,-53.44,-50.4,3.04
20,BlockChain,FB,20210101,20211231,3131.38,3192.05,31.31,31.92,0.61,-35.05,-35.67,-0.62
21,Airline,BA,20120101,20121231,171.77,105.24,1.72,1.05,-0.67,-12.52,-15.11,-2.59
22,Airline,BA,20130101,20131231,8518.68,8693.44,85.19,86.93,1.75,-49.12,-47.49,1.63
23,Airline,BA,20140101,20141231,-438.74,288.92,-4.39,2.89,7.28,-15.67,-18.16,-2.5
24,Airline,BA,20150101,20151231,1354.71,2184.24,13.55,21.84,8.3,-19.46,-21.49,-2.03
25,Airline,BA,20160101,20161231,2353.76,4317.24,23.54,43.17,19.63,-35.51,-41.88,-6.37
26,Airline,BA,20170101,20171231,9079.59,7300.16,90.8,73.0,-17.79,-48.68,-43.07,5.62
27,Airline,BA,20180101,20181231,504.64,719.98,5.05,7.2,2.15,-23.23,-23.15,0.07
28,Airline,BA,20190101,20191231,-287.58,-668.41,-2.88,-6.68,-3.81,-26.89,-27.93,-1.04
29,Airline,BA,20200101,20201231,-3506.89,-1979.81,-35.07,-19.8,15.27,-71.42,-70.49,0.93
30,Airline,BA,20210101,20211231,-45.64,214.74,-0.46,2.15,2.6,-31.38,-27.51,3.87
31,Airline,GD,20120101,20121231,-26.69,30.02,-0.27,0.3,0.57,-15.93,-16.02,-0.09
32,Airline,GD,20130101,20131231,3709.92,2591.45,37.1,25.91,-11.18,-33.03,-25.42,7.61
33,Airline,GD,20140101,20141231,4937.26,5361.49,49.37,53.61,4.24,-36.26,-37.77,-1.52
34,Airline,GD,20150101,20151231,199.86,-58.12,2.0,-0.58,-2.58,-14.13,-14.55,-0.41
35,Airline,GD,20160101,20161231,3469.84,3191.78,34.7,31.92,-2.78,-32.12,-28.92,3.19
36,Airline,GD,20170101,20171231,1707.42,1972.16,17.07,19.72,2.65,-19.36,-19.55,-0.19
37,Airline,GD,20180101,20181231,-2250.85,-1919.86,-22.51,-19.2,3.31,-34.64,-35.52,-0.88
38,Airline,GD,20190101,20191231,1290.45,1148.23,12.9,11.48,-1.42,-18.94,-17.29,1.65
39,Airline,GD,20200101,20201231,-1553.51,-1948.34,-15.54,-19.48,-3.95,-40.67,-39.68,1.0
40,Airline,GD,20210101,20211231,4153.63,4255.21,41.54,42.55,1.02,-30.8,-30.86,-0.06
41,Airline,LMT,20120101,20121231,1787.95,1407.85,17.88,14.08,-3.8,-17.95,-14.19,3.76
42,Airline,LMT,20130101,20131231,6466.92,5382.92,64.67,53.83,-10.84,-44.49,-38.84,5.65
43,Airline,LMT,20140101,20141231,3466.77,3224.57,34.67,32.25,-2.42,-28.29,-25.73,2.56
44,Airline,LMT,20150101,20151231,1571.1,2313.68,15.71,23.14,7.43,-19.08,-21.74,-2.67
45,Airline,LMT,20160101,20161231,1967.32,2241.73,19.67,22.42,2.74,-27.17,-25.19,1.98
46,Airline,LMT,20170101,20171231,2750.8,2689.2,27.51,26.89,-0.62,-24.69,-22.59,2.1
47,Airline,LMT,20180101,20181231,-1818.87,-1081.97,-18.19,-10.82,7.37,-30.22,-26.96,3.26
48,Airline,LMT,20190101,20191231,4792.28,3457.03,47.92,34.57,-13.35,-33.41,-27.84,5.57
49,Airline,LMT,20200101,20201231,-1106.34,-1466.98,-11.06,-14.67,-3.61,-35.02,-34.54,0.48
50,Airline,LMT,20210101,20211231,829.76,1413.52,8.3,14.14,5.84,-18.93,-20.41,-1.48
51,Traveling,UBER,20190101,20191231,-3068.06,-2528.58,-30.68,-25.29,5.39,-44.53,-41.75,2.78
52,Traveling,UBER,20200101,20201231,5455.7,10552.68,54.56,105.53,50.97,-70.76,-78.77,-8.0
53,Traveling,UBER,20210101,20211231,-1994.03,-2498.01,-19.94,-24.98,-5.04,-44.27,-43.69,0.58
54,Traveling,ABNB,20200101,20201231,264.17,872.84,2.64,8.73,6.09,-15.88,-15.71,0.17
55,Traveling,ABNB,20210101,20211231,1387.97,3539.36,13.88,35.39,21.51,-39.9,-39.51,0.4
56,Traveling,MAR,20120101,20121231,1074.58,1451.33,10.75,14.51,3.77,-20.3,-19.07,1.24
57,Traveling,MAR,20130101,20131231,2755.67,1662.04,27.56,16.62,-10.94,-23.56,-16.95,6.61
58,Traveling,MAR,20140101,20141231,6193.84,6205.2,61.94,62.05,0.11,-40.41,-39.72,0.68
59,Traveling,MAR,20150101,20151231,-1265.03,-0.8,-12.65,-0.01,12.64,-22.76,-23.81,-1.05
60,Traveling,MAR,20160101,20161231,3412.18,4760.13,34.12,47.6,13.48,-33.89,-38.91,-5.03
61,Traveling,MAR,20170101,20171231,6825.45,4971.57,68.25,49.72,-18.54,-39.82,-33.6,6.23
62,Traveling,MAR,20180101,20181231,-2012.72,-1256.8,-20.13,-12.57,7.56,-30.56,-28.7,1.86
63,Traveling,MAR,20190101,20191231,3963.91,3949.84,39.64,39.5,-0.14,-30.94,-30.57,0.36
64,Traveling,MAR,20200101,20201231,-1132.43,-1140.14,-11.32,-11.4,-0.08,-58.97,-60.76,-1.79
65,Traveling,MAR,20210101,20211231,2888.82,3346.98,28.89,33.47,4.58,-30.75,-31.84,-1.09
66,Traveling,BKNG,20120101,20121231,2505.58,1997.15,25.06,19.97,-5.08,-38.38,-32.05,6.32
67,Traveling,BKNG,20130101,20131231,7495.23,8923.09,74.95,89.23,14.28,-45.37,-49.22,-3.86
68,Traveling,BKNG,20140101,20141231,-91.29,2554.45,-0.91,25.54,26.46,-24.85,-30.76,-5.91
69,Traveling,BKNG,20150101,20151231,1813.84,3215.05,18.14,32.15,14.01,-32.41,-39.49,-7.09
70,Traveling,BKNG,20160101,20161231,2775.38,4699.7,27.75,47.0,19.24,-39.51,-40.26,-0.75
71,Traveling,BKNG,20170101,20171231,1378.28,1366.33,13.78,13.66,-0.12,-25.07,-21.33,3.74
72,Traveling,BKNG,20180101,20181231,-668.26,356.23,-6.68,3.56,10.24,-26.65,-22.68,3.97
73,Traveling,BKNG,20190101,20191231,2420.03,1790.1,24.2,17.9,-6.3,-20.86,-18.44,2.41
74,Traveling,BKNG,20200101,20201231,500.14,1025.88,5.0,10.26,5.26,-46.96,-45.09,1.87
75,Traveling,BKNG,20210101,20211231,550.38,1748.48,5.5,17.48,11.98,-26.69,-27.77,-1.08
76,Semiconductors,INTC,20120101,20121231,-1836.19,-1605.73,-18.36,-16.06,2.3,-32.01,-31.14,0.87
77,Semiconductors,INTC,20130101,20131231,2640.74,2444.01,26.41,24.44,-1.97,-23.27,-23.5,-0.23
78,Semiconductors,INTC,20140101,20141231,4835.78,4733.15,48.36,47.33,-1.03,-38.67,-38.03,0.64
79,Semiconductors,INTC,20150101,20151231,-250.27,-167.85,-2.5,-1.68,0.82,-30.26,-27.63,2.63
80,Semiconductors,INTC,20160101,20161231,1938.31,1838.3,19.38,18.38,-1.0,-28.42,-29.13,-0.72
81,Semiconductors,INTC,20170101,20171231,2991.98,2187.23,29.92,21.87,-8.05,-30.98,-24.0,6.98
82,Semiconductors,INTC,20180101,20181231,791.35,2055.23,7.91,20.55,12.64,-25.86,-29.46,-3.59
83,Semiconductors,INTC,20190101,20191231,2735.94,1528.93,27.36,15.29,-12.07,-28.63,-25.83,2.8
84,Semiconductors,INTC,20200101,20201231,-1540.81,-1085.16,-15.41,-10.85,4.56,-33.95,-32.59,1.36
85,Semiconductors,INTC,20210101,20211231,371.49,2290.48,3.71,22.9,19.19,-28.58,-29.43,-0.85
86,Semiconductors,NVDA,20120101,20121231,-1779.99,-446.15,-17.8,-4.46,13.34,-29.79,-24.69,5.1
87,Semiconductors,NVDA,20130101,20131231,2978.12,4232.96,29.78,42.33,12.55,-27.53,-35.38,-7.85
88,Semiconductors,NVDA,20140101,20141231,2880.98,2623.35,28.81,26.23,-2.58,-28.47,-27.59,0.88
89,Semiconductors,NVDA,20150101,20151231,6994.78,5204.49,69.95,52.04,-17.9,-43.67,-39.97,3.7
90,Semiconductors,NVDA,20160101,20161231,27880.18,25310.84,278.8,253.11,-25.69,-79.48,-74.73,4.75
91,Semiconductors,NVDA,20170101,20171231,8452.01,9212.42,84.52,92.12,7.6,-55.94,-53.24,2.69
92,Semiconductors,NVDA,20180101,20181231,-3879.29,-2227.29,-38.79,-22.27,16.52,-56.23,-53.19,3.04
93,Semiconductors,NVDA,20190101,20191231,6312.14,4906.52,63.12,49.07,-14.06,-44.23,-43.03,1.2
94,Semiconductors,NVDA,20200101,20201231,11545.53,18042.33,115.46,180.42,64.97,-66.0,-71.27,-5.26
95,Semiconductors,NVDA,20210101,20211231,12030.4,13082.99,120.3,130.83,10.53,-63.82,-62.74,1.08
96,Semiconductors,QCOM,20120101,20121231,862.69,1041.41,8.63,10.41,1.79,-21.46,-17.96,3.5
97,Semiconductors,QCOM,20130101,20131231,1678.69,2454.6,16.79,24.55,7.76,-20.77,-21.88,-1.12
