,Sector,Stock,Range_Start,Range_End,Buy&Hold_Profit,WithModel_Profit,Buy&Hold_CAGR(in %),WithModel_CAGR(in %),CAGR_Performance(in %),Buy&Hold_MDD(in %),WithModel_MDD(in %),MDD_Performance(in %)
0,BlockChain,COIN,20210101,20211231,-1762.85,-2991.15,-17.63,-29.91,-12.28,-42.04,-31.01,11.03
1,BlockChain,NVDA,20120101,20121231,-1779.99,-2837.55,-17.8,-28.38,-10.58,-29.79,-37.51,-7.72
2,BlockChain,NVDA,20130101,20131231,2978.12,1999.85,29.78,20.0,-9.78,-27.53,-23.09,4.44
3,BlockChain,NVDA,20140101,20141231,2880.98,2250.68,28.81,22.51,-6.3,-28.47,-23.7,4.77
4,BlockChain,NVDA,20150101,20151231,6994.78,2164.58,69.95,21.65,-48.3,-43.67,-23.39,20.28
5,BlockChain,NVDA,20160101,20161231,27880.18,9075.33,278.8,90.75,-188.05,-79.48,-54.22,25.26
6,BlockChain,NVDA,20170101,20171231,8452.01,2571.47,84.52,25.71,-58.81,-55.94,-29.73,26.21
7,BlockChain,NVDA,20180101,20181231,-3879.29,-2615.89,-38.79,-26.16,12.63,-56.23,-34.34,21.9
8,BlockChain,NVDA,20190101,20191231,6312.14,428.36,63.12,4.28,-58.84,-44.23,-17.01,27.21
9,BlockChain,NVDA,20200101,20201231,11545.53,-2196.01,115.46,-21.96,-137.42,-66.0,-33.45,32.56
10,BlockChain,NVDA,20210101,20211231,12030.4,4565.48,120.3,45.65,-74.65,-63.82,-49.88,13.94
11,BlockChain,FB,20120101,20121231,-2035.08,-2511.79,-20.35,-25.12,-4.77,-45.05,-44.87,0.18
12,BlockChain,FB,20130101,20131231,8210.22,3852.78,82.1,38.53,-43.57,-60.58,-36.02,24.56
13,BlockChain,FB,20140101,20141231,3544.61,-2734.63,35.45,-27.35,-62.79,-34.12,-30.69,3.43
14,BlockChain,FB,20150101,20151231,3525.63,-1228.16,35.26,-12.28,-47.54,-31.95,-18.52,13.43
15,BlockChain,FB,20160101,20161231,1900.88,680.48,19.01,6.8,-12.2,-30.46,-15.12,15.35
16,BlockChain,FB,20170101,20171231,4249.41,358.66,42.49,3.59,-38.91,-32.24,-14.3,17.94
17,BlockChain,FB,20180101,20181231,-2825.91,-2679.89,-28.26,-26.8,1.46,-42.93,-29.63,13.31
18,BlockChain,FB,20190101,20191231,4207.17,156.94,42.07,1.57,-40.5,-31.95,-16.18,15.77
19,BlockChain,FB,20200101,20201231,2445.81,-671.8,24.46,-6.72,-31.18,-53.44,-23.21,30.23
20,BlockChain,FB,20210101,20211231,3131.38,1226.64,31.31,12.27,-19.05,-35.05,-24.01,11.04
21,Airline,BA,20120101,20121231,171.77,-861.58,1.72,-8.62,-10.33,-12.52,-15.4,-2.88
22,Airline,BA,20130101,20131231,8518.68,1122.58,85.19,11.23,-73.96,-49.12,-21.61,27.51
23,Airline,BA,20140101,20141231,-438.74,448.08,-4.39,4.48,8.87,-15.67,-11.52,4.15
24,Airline,BA,20150101,20151231,1354.71,331.38,13.55,3.31,-10.23,-19.46,-13.84,5.62
25,Airline,BA,20160101,20161231,2353.76,305.66,23.54,3.06,-20.48,-35.51,-20.93,14.58
26,Airline,BA,20170101,20171231,9079.59,3005.27,90.8,30.05,-60.74,-48.68,-25.16,23.52
27,Airline,BA,20180101,20181231,504.64,-1027.83,5.05,-10.28,-15.32,-23.23,-23.95,-0.72
28,Airline,BA,20190101,20191231,-287.58,1240.85,-2.88,12.41,15.28,-26.89,-22.54,4.35
29,Airline,BA,20200101,20201231,-3506.89,-1601.02,-35.07,-16.01,19.06,-71.42,-46.19,25.23
30,Airline,BA,20210101,20211231,-45.64,-1795.37,-0.46,-17.95,-17.5,-31.38,-27.56,3.83
31,Airline,GD,20120101,20121231,-26.69,-908.1,-0.27,-9.08,-8.81,-15.93,-18.13,-2.19
32,Airline,GD,20130101,20131231,3709.92,948.15,37.1,9.48,-27.62,-33.03,-14.45,18.59
33,Airline,GD,20140101,20141231,4937.26,2248.27,49.37,22.48,-26.89,-36.26,-23.73,12.53
34,Airline,GD,20150101,20151231,199.86,-865.26,2.0,-8.65,-10.65,-14.13,-15.96,-1.83
35,Airline,GD,20160101,20161231,3469.84,1265.02,34.7,12.65,-22.05,-32.12,-17.67,14.44
36,Airline,GD,20170101,20171231,1707.42,-936.9,17.07,-9.37,-26.44,-19.36,-13.65,5.71
37,Airline,GD,20180101,20181231,-2250.85,-1089.44,-22.51,-10.89,11.61,-34.64,-16.52,18.12
38,Airline,GD,20190101,20191231,1290.45,364.49,12.9,3.64,-9.26,-18.94,-10.61,8.33
39,Airline,GD,20200101,20201231,-1553.51,-1894.09,-15.54,-18.94,-3.41,-40.67,-24.67,16.01
40,Airline,GD,20210101,20211231,4153.63,929.8,41.54,9.3,-32.24,-30.8,-13.24,17.56
41,Airline,LMT,20120101,20121231,1787.95,-800.41,17.88,-8.0,-25.88,-17.95,-14.2,3.75
42,Airline,LMT,20130101,20131231,6466.92,3608.11,64.67,36.08,-28.59,-44.49,-29.92,14.57
43,Airline,LMT,20140101,20141231,3466.77,1710.53,34.67,17.11,-17.56,-28.29,-16.08,12.21
44,Airline,LMT,20150101,20151231,1571.1,124.96,15.71,1.25,-14.46,-19.08,-10.75,8.33
45,Airline,LMT,20160101,20161231,1967.32,371.64,19.67,3.72,-15.96,-27.17,-13.26,13.91
46,Airline,LMT,20170101,20171231,2750.8,174.7,27.51,1.75,-25.76,-24.69,-9.42,15.27
47,Airline,LMT,20180101,20181231,-1818.87,-1438.23,-18.19,-14.38,3.81,-30.22,-19.3,10.92
48,Airline,LMT,20190101,20191231,4792.28,-769.45,47.92,-7.69,-55.62,-33.41,-12.08,21.33
49,Airline,LMT,20200101,20201231,-1106.34,-755.33,-11.06,-7.55,3.51,-35.02,-20.61,14.41
