,Sector,Stock,CAGR_Performance(in %),MDD_Performance(in %)
0,Airline,BA,27.184606813765903,10.022394448243917
1,Airline,GD,16.053514375660047,5.431923714311095
2,Airline,LMT,23.516489047960736,7.707750273958951
3,BlockChain,FB,49.71934188163453,5.236942492205415
4,BlockChain,NVDA,42.611077757069786,8.648560298575436
5,Cloud Computing,AMZN,23.021442178977406,6.980245254253163
6,Cloud Computing,CRM,25.127763813871585,8.688104346913493
7,Cloud Computing,GOOG,12.672817366315984,4.135079201176199
8,Cloud Computing,IBM,6.5522576988684555,8.845731550678364
9,Energy & Resources,DD,20.662469197395875,6.821849351270415
10,Entertainment,DIS,10.063884273314487,4.373440402289821
11,Entertainment,FB,49.71934188163453,5.236942492205415
12,Entertainment,NFLX,75.99532347767321,6.250687581226184
13,Franchise,DPZ,23.681700389400532,5.523835365292593
14,Franchise,MCD,17.68186803318182,7.300118068190665
15,Franchise,SBUX,21.83774441082185,7.996525733687337
16,Franchise,YUM,13.871054651426368,2.50080653656642
17,Luxury goods,EL,13.420017209555356,5.672999962227091
18,Luxury goods,PVH,33.02593951657365,10.707297911771605
19,Luxury goods,RACE,32.44795781966357,11.248272089525573
20,Real Estate,AVB,11.134419180010715,3.527840969312804
21,Real Estate,EQR,10.85958211947052,2.762406645696914
22,Real Estate,HST,14.49560048198533,11.490900540779876
23,Real Estate,PLD,16.149837681625694,6.330929368320789
24,Real Estate,SPG,10.277473285922817,4.05888091543892
25,Retail,BBY,37.18545677059911,10.666180866913626
26,Retail,COST,13.624241525415538,5.540667400060685
27,Retail,HD,15.178932455090198,3.295247660321929
28,Retail,TGT,25.313050464326178,6.715403756964106
29,Retail,WMT,13.84567527459473,11.547768491914669
30,Semiconductors,AMD,73.72523125639907,16.639427502743224
31,Semiconductors,INTC,14.970586081347905,10.645555969735065
32,Semiconductors,MU,45.820559068319255,10.539922065312302
33,Semiconductors,NVDA,42.611077757069786,8.648560298575436
34,Semiconductors,QCOM,20.51671745767571,10.917088614164667
35,Social Media,FB,49.71934188163453,5.236942492205415
36,Social Media,SNAP,22.88904650700854,15.874547237637993
37,Social Media,TWTR,65.51484737574121,16.496799285517987
38,Telecommunication,CHTR,23.237168092355425,8.622752571236282
39,Telecommunication,CMCSA,12.140833893067132,8.303342413636525
40,Telecommunication,T,14.590628270685718,6.523541252739227
41,Telecommunication,TMUS,47.75388465873745,8.927903822659978
42,Telecommunication,VZ,8.287722704039247,3.9018835500428817
43,Traveling,BKNG,25.663551233310677,6.205985589965315
44,Traveling,MAR,23.589419742959425,8.78436300099975
