,Sector,Stock,CAGR_Performance(in %),MDD_Performance(in %)
0,Airline,BA,30.552414213703543,9.673438596782132
1,Airline,GD,15.531109487244043,5.924129833630783
2,Airline,LMT,20.05037893003759,6.725446347375657
3,BlockChain,FB,34.158255573280144,7.281692634205843
4,BlockChain,NVDA,32.17824597901064,9.879504759132123
5,Cloud Computing,AMZN,36.108855990634495,7.917057534210548
6,Cloud Computing,CRM,21.510006862809117,9.290141215800963
7,Cloud Computing,GOOG,22.468834638227236,8.059769227465512
8,Cloud Computing,IBM,6.406164813603192,8.716936443061917
9,Energy & Resources,DD,21.163981081972626,6.250559213077698
10,Entertainment,DIS,10.35388953830533,4.183036035726979
11,Entertainment,FB,34.158255573280144,7.281692634205843
12,Entertainment,NFLX,102.72487031363137,10.317027765047543
13,Franchise,DPZ,26.170752668543855,6.048285865000257
14,Franchise,MCD,19.662374269267733,8.355460148053744
15,Franchise,SBUX,25.416351598359444,8.352525423629727
16,Franchise,YUM,11.386209286007436,3.5475833491332684
17,Luxury goods,EL,23.775569894526686,9.430304746881069
18,Luxury goods,PVH,28.42811452133425,10.687193938808928
19,Luxury goods,RACE,27.77712653125469,9.924296784491418
20,Real Estate,AVB,14.072720486983387,6.282046982132042
21,Real Estate,EQR,15.033830738260514,6.170945362476212
22,Real Estate,HST,16.631808308751264,10.79747192633535
23,Real Estate,PLD,13.755956112587322,5.217795557147719
24,Real Estate,SPG,10.207953948246622,4.052933094274647
25,Retail,BBY,32.00232618033228,11.202278679761882
26,Retail,COST,16.56942235392825,5.742428970060533
27,Retail,HD,15.843604237612578,4.98898262364659
28,Retail,TGT,25.440578385159185,6.035845701584272
29,Retail,WMT,12.26253100573722,9.950164870612998
30,Semiconductors,AMD,107.80300161471784,19.79870606642671
31,Semiconductors,INTC,9.455787847108446,12.325339365558682
32,Semiconductors,MU,48.83584568541354,11.652781805625807
33,Semiconductors,NVDA,32.17824597901064,9.879504759132123
34,Semiconductors,QCOM,24.72377109469462,10.046734840353901
35,Social Media,FB,34.158255573280144,7.281692634205843
36,Social Media,SNAP,32.72490183331342,15.294719677065023
37,Social Media,TWTR,56.1851871641153,15.421807179013316
38,Telecommunication,CHTR,23.95333777318289,8.739977116674849
39,Telecommunication,CMCSA,14.456878903105181,9.729837271677946
40,Telecommunication,T,12.556684806641176,5.729266553241805
41,Telecommunication,TMUS,30.483697516635253,6.037518411684437
42,Telecommunication,VZ,11.706904556103389,4.519442654217653
43,Traveling,BKNG,22.204680759223887,5.822258193878941
44,Traveling,MAR,20.15044912650832,7.608918013313939
