,Sector,Stock,CAGR_Performance(in %),MDD_Performance(in %)
0,Airline,BA,11.33523856534715,3.7961314895185447
1,Airline,GD,5.337011826677475,3.237624790755452
2,Airline,LMT,6.5219245625812015,2.5542429686420087
3,BlockChain,FB,9.574546862334929,3.177721555724209
4,BlockChain,NVDA,16.588472331282176,4.462605474277064
5,Cloud Computing,AMZN,33.57352400755265,9.603143334594247
6,Cloud Computing,CRM,15.908906759602129,5.707316941143769
7,Cloud Computing,GOOG,9.469817844077044,3.576454948688715
8,Cloud Computing,IBM,5.752190059115786,1.8351423974851704
9,Energy & Resources,DD,4.64408892085002,2.445273380373226
10,Entertainment,DIS,7.2042735333173695,3.9471146785613263
11,Entertainment,FB,9.574546862334929,3.177721555724209
12,Entertainment,NFLX,53.76663011837095,3.3365651000192798
13,Franchise,DPZ,5.85785146700766,2.979315996923423
14,Franchise,MCD,6.564508105461267,3.808969364414424
15,Franchise,SBUX,6.946042038456145,2.3376259833633006
16,Franchise,YUM,9.093984668057075,2.51965511623355
17,Luxury goods,EL,12.746987505924311,3.6267222509746024
18,Luxury goods,PVH,13.74206437669877,5.461487674530413
19,Luxury goods,RACE,13.006877667859673,6.3035248075977295
20,Real Estate,AVB,6.64876143138168,3.647920477412276
21,Real Estate,EQR,8.635513881640165,5.480390583925652
22,Real Estate,HST,7.4819869400733765,3.746793549791862
23,Real Estate,PLD,8.701671979458617,4.527385979737514
24,Real Estate,SPG,3.5565372404710094,2.9871654026613834
25,Retail,BBY,7.917173016388399,2.6620284067032864
26,Retail,COST,7.8972291705020545,3.341052015672395
27,Retail,HD,9.446031668680469,4.69332859848246
28,Retail,TGT,6.191640678020187,2.7324147701603567
29,Retail,WMT,6.033196262583966,3.2572943782634485
30,Semiconductors,AMD,96.31024622838127,10.721154655299827
31,Semiconductors,INTC,6.251799740874623,3.2679759281039185
32,Semiconductors,MU,10.826586763721101,3.862039308325022
33,Semiconductors,NVDA,16.588472331282176,4.462605474277064
34,Semiconductors,QCOM,7.6009708026578515,2.329290715667591
35,Social Media,FB,9.574546862334929,3.177721555724209
36,Social Media,SNAP,0.9475230867899735,0.2757716446627534
37,Social Media,TWTR,23.310734580159988,6.067320386024351
38,Telecommunication,CHTR,12.348033388820609,6.111172438364718
39,Telecommunication,CMCSA,8.872765178046915,3.9011664922174236
40,Telecommunication,T,4.365727997983951,2.0659449584702325
41,Telecommunication,TMUS,14.369759583103349,5.239155239067422
42,Telecommunication,VZ,6.520802243954489,2.5719957046546376
43,Traveling,BKNG,10.869969334516695,5.299658569415671
44,Traveling,MAR,12.02044904477762,4.0517027578655425
