,Sector,Stock,Range_Start,Range_End,Buy&Hold_Profit,WithModel_Profit,Buy&Hold_CAGR(in %),WithModel_CAGR(in %),CAGR_Performance(in %),Buy&Hold_MDD(in %),WithModel_MDD(in %),MDD_Performance(in %)
0,BlockChain,COIN,20210101,20211231,-1762.85,5277.63,-17.63,52.78,70.4,-42.04,-48.17,-6.13
1,BlockChain,NVDA,20120101,20121231,-1779.99,2355.88,-17.8,23.56,41.36,-29.79,-24.08,5.71
2,BlockChain,NVDA,20130101,20131231,2978.12,6226.34,29.78,62.26,32.48,-27.53,-39.18,-11.65
3,BlockChain,NVDA,20140101,20141231,2880.98,6425.43,28.81,64.25,35.44,-28.47,-42.62,-14.15
4,BlockChain,NVDA,20150101,20151231,6994.78,8599.72,69.95,86.0,16.05,-43.67,-49.9,-6.23
5,BlockChain,NVDA,20160101,20161231,27880.18,26699.21,278.8,266.99,-11.81,-79.48,-72.89,6.59
6,BlockChain,NVDA,20170101,20171231,8452.01,12928.62,84.52,129.29,44.77,-55.94,-59.25,-3.31
7,BlockChain,NVDA,20180101,20181231,-3879.29,5560.69,-38.79,55.61,94.4,-56.23,-44.34,11.9
8,BlockChain,NVDA,20190101,20191231,6312.14,6619.52,63.12,66.2,3.07,-44.23,-40.37,3.86
9,BlockChain,NVDA,20200101,20201231,11545.53,7314.83,115.46,73.15,-42.31,-66.0,-54.0,12.01
10,BlockChain,NVDA,20210101,20211231,12030.4,23460.2,120.3,234.6,114.3,-63.82,-71.56,-7.74
11,BlockChain,FB,20120101,20121231,-2035.08,6107.22,-20.35,61.07,81.42,-45.05,-43.98,1.07
12,BlockChain,FB,20130101,20131231,8210.22,13660.32,82.1,136.6,54.5,-60.58,-58.88,1.7
13,BlockChain,FB,20140101,20141231,3544.61,6713.96,35.45,67.14,31.69,-34.12,-44.25,-10.13
14,BlockChain,FB,20150101,20151231,3525.63,1653.94,35.26,16.54,-18.72,-31.95,-24.5,7.45
15,BlockChain,FB,20160101,20161231,1900.88,4642.66,19.01,46.43,27.42,-30.46,-33.34,-2.88
16,BlockChain,FB,20170101,20171231,4249.41,3903.87,42.49,39.04,-3.46,-32.24,-30.21,2.02
17,BlockChain,FB,20180101,20181231,-2825.91,1804.57,-28.26,18.05,46.3,-42.93,-30.12,12.82
18,BlockChain,FB,20190101,20191231,4207.17,7234.87,42.07,72.35,30.28,-31.95,-44.24,-12.29
19,BlockChain,FB,20200101,20201231,2445.81,5778.07,24.46,57.78,33.32,-53.44,-45.75,7.7
20,BlockChain,FB,20210101,20211231,3131.38,5876.82,31.31,58.77,27.45,-35.05,-35.91,-0.86
21,Airline,BA,20120101,20121231,171.77,1600.04,1.72,16.0,14.28,-12.52,-18.07,-5.55
22,Airline,BA,20130101,20131231,8518.68,4268.05,85.19,42.68,-42.51,-49.12,-35.94,13.18
23,Airline,BA,20140101,20141231,-438.74,2539.35,-4.39,25.39,29.78,-15.67,-17.58,-1.92
24,Airline,BA,20150101,20151231,1354.71,3649.88,13.55,36.5,22.95,-19.46,-31.06,-11.6
25,Airline,BA,20160101,20161231,2353.76,4890.82,23.54,48.91,25.37,-35.51,-33.95,1.56
26,Airline,BA,20170101,20171231,9079.59,7020.8,90.8,70.21,-20.59,-48.68,-41.45,7.24
27,Airline,BA,20180101,20181231,504.64,4813.55,5.05,48.14,43.09,-23.23,-36.62,-13.4
28,Airline,BA,20190101,20191231,-287.58,4126.08,-2.88,41.26,44.14,-26.89,-33.76,-6.87
29,Airline,BA,20200101,20201231,-3506.89,11461.0,-35.07,114.61,149.68,-71.42,-55.93,15.5
30,Airline,BA,20210101,20211231,-45.64,6183.74,-0.46,61.84,62.29,-31.38,-39.19,-7.81
31,Airline,GD,20120101,20121231,-26.69,1666.18,-0.27,16.66,16.93,-15.93,-15.8,0.13
32,Airline,GD,20130101,20131231,3709.92,4956.63,37.1,49.57,12.47,-33.03,-34.48,-1.45
33,Airline,GD,20140101,20141231,4937.26,7092.63,49.37,70.93,21.55,-36.26,-41.72,-5.46
34,Airline,GD,20150101,20151231,199.86,2737.43,2.0,27.37,25.38,-14.13,-22.57,-8.44
35,Airline,GD,20160101,20161231,3469.84,4135.75,34.7,41.36,6.66,-32.12,-31.01,1.11
36,Airline,GD,20170101,20171231,1707.42,2068.12,17.07,20.68,3.61,-19.36,-18.61,0.75
37,Airline,GD,20180101,20181231,-2250.85,2756.82,-22.51,27.57,50.08,-34.64,-24.3,10.34
38,Airline,GD,20190101,20191231,1290.45,3905.48,12.9,39.05,26.15,-18.94,-30.18,-11.24
39,Airline,GD,20200101,20201231,-1553.51,3615.13,-15.54,36.15,51.69,-40.67,-31.42,9.25
40,Airline,GD,20210101,20211231,4153.63,3421.02,41.54,34.21,-7.33,-30.8,-25.69,5.11
41,Airline,LMT,20120101,20121231,1787.95,1453.25,17.88,14.53,-3.35,-17.95,-14.21,3.74
42,Airline,LMT,20130101,20131231,6466.92,4993.12,64.67,49.93,-14.74,-44.49,-35.62,8.87
43,Airline,LMT,20140101,20141231,3466.77,5323.67,34.67,53.24,18.57,-28.29,-36.02,-7.73
44,Airline,LMT,20150101,20151231,1571.1,2681.05,15.71,26.81,11.1,-19.08,-22.88,-3.8
45,Airline,LMT,20160101,20161231,1967.32,4244.36,19.67,42.44,22.77,-27.17,-33.96,-6.79
46,Airline,LMT,20170101,20171231,2750.8,2183.21,27.51,21.83,-5.68,-24.69,-21.11,3.58
47,Airline,LMT,20180101,20181231,-1818.87,2556.11,-18.19,25.56,43.75,-30.22,-23.22,7.0
48,Airline,LMT,20190101,20191231,4792.28,3949.69,47.92,39.5,-8.43,-33.41,-28.89,4.52
49,Airline,LMT,20200101,20201231,-1106.34,2467.49,-11.06,24.67,35.74,-35.02,-32.55,2.47
50,Airline,LMT,20210101,20211231,829.76,2204.31,8.3,22.04,13.75,-18.93,-22.3,-3.37
51,Traveling,UBER,20190101,20191231,-3068.06,280.81,-30.68,2.81,33.49,-44.53,-19.11,25.42
52,Traveling,UBER,20200101,20201231,5455.7,30916.92,54.56,309.17,254.61,-70.76,-75.94,-5.17
53,Traveling,UBER,20210101,20211231,-1994.03,6370.81,-19.94,63.71,83.65,-44.27,-40.09,4.18
54,Traveling,ABNB,20200101,20201231,264.17,1104.62,2.64,11.05,8.4,-15.88,-15.71,0.17
55,Traveling,ABNB,20210101,20211231,1387.97,6823.47,13.88,68.23,54.35,-39.9,-47.36,-7.46
56,Traveling,MAR,20120101,20121231,1074.58,4179.98,10.75,41.8,31.05,-20.3,-29.71,-9.41
57,Traveling,MAR,20130101,20131231,2755.67,4701.09,27.56,47.01,19.45,-23.56,-33.54,-9.98
58,Traveling,MAR,20140101,20141231,6193.84,6447.02,61.94,64.47,2.53,-40.41,-40.81,-0.4
59,Traveling,MAR,20150101,20151231,-1265.03,3436.76,-12.65,34.37,47.02,-22.76,-27.32,-4.55
60,Traveling,MAR,20160101,20161231,3412.18,7310.46,34.12,73.1,38.98,-33.89,-42.75,-8.86
61,Traveling,MAR,20170101,20171231,6825.45,5962.17,68.25,59.62,-8.63,-39.82,-38.45,1.38
62,Traveling,MAR,20180101,20181231,-2012.72,1327.2,-20.13,13.27,33.4,-30.56,-19.6,10.96
63,Traveling,MAR,20190101,20191231,3963.91,6154.21,39.64,61.54,21.9,-30.94,-39.21,-8.28
64,Traveling,MAR,20200101,20201231,-1132.43,10832.65,-11.32,108.33,119.65,-58.97,-54.92,4.05
