,Sector,Stock,Range_Start,Range_End,Buy&Hold_Profit,WithModel_Profit,Buy&Hold_CAGR(in %),WithModel_CAGR(in %),CAGR_Performance(in %),Buy&Hold_MDD(in %),WithModel_MDD(in %),MDD_Performance(in %)
0,BlockChain,COIN,20210101,20211231,-1603.28,3930.42,-16.03,39.3,55.34,-42.04,-47.39,-5.35
1,BlockChain,NVDA,20120101,20121231,-1543.03,2769.78,-15.43,27.7,43.13,-29.79,-25.85,3.94
2,BlockChain,NVDA,20130101,20131231,3261.18,5641.43,32.61,56.41,23.8,-27.53,-36.22,-8.69
3,BlockChain,NVDA,20140101,20141231,3133.62,7219.01,31.34,72.19,40.85,-28.47,-43.0,-14.54
4,BlockChain,NVDA,20150101,20151231,6946.15,8417.36,69.46,84.17,14.71,-43.67,-50.12,-6.45
5,BlockChain,NVDA,20160101,20161231,27193.07,26296.42,271.93,262.96,-8.97,-79.48,-75.99,3.48
6,BlockChain,NVDA,20170101,20171231,8780.24,14555.54,87.8,145.56,57.75,-55.94,-61.23,-5.3
7,BlockChain,NVDA,20180101,20181231,-3761.52,2947.9,-37.62,29.48,67.09,-56.23,-32.11,24.12
8,BlockChain,NVDA,20190101,20191231,6319.22,6375.25,63.19,63.75,0.56,-44.23,-46.97,-2.74
9,BlockChain,NVDA,20200101,20201231,11264.37,2472.39,112.64,24.72,-87.92,-66.0,-41.79,24.21
10,BlockChain,NVDA,20210101,20211231,11464.65,15412.15,114.65,154.12,39.47,-63.82,-67.03,-3.21
11,BlockChain,FB,20120101,20121231,-1678.75,5244.27,-16.79,52.44,69.23,-44.98,-43.58,1.4
12,BlockChain,FB,20130101,20131231,7662.53,14483.32,76.63,144.83,68.21,-60.58,-60.94,-0.36
13,BlockChain,FB,20140101,20141231,3892.63,7210.67,38.93,72.11,33.18,-34.12,-46.48,-12.36
14,BlockChain,FB,20150101,20151231,3599.5,2721.2,35.99,27.21,-8.78,-31.95,-31.11,0.84
15,BlockChain,FB,20160101,20161231,1754.55,3718.47,17.55,37.18,19.64,-30.46,-32.39,-1.93
16,BlockChain,FB,20170101,20171231,4287.03,3824.56,42.87,38.25,-4.62,-32.24,-29.18,3.06
17,BlockChain,FB,20180101,20181231,-2786.92,2853.79,-27.87,28.54,56.41,-42.93,-29.19,13.75
18,BlockChain,FB,20190101,20191231,4198.2,5640.86,41.98,56.41,14.43,-31.95,-38.95,-7.0
19,BlockChain,FB,20200101,20201231,2371.07,3401.17,23.71,34.01,10.3,-53.44,-38.69,14.75
20,BlockChain,FB,20210101,20211231,3277.75,4051.27,32.78,40.51,7.74,-35.05,-32.01,3.04
21,Airline,BA,20120101,20121231,212.94,1971.63,2.13,19.72,17.59,-12.52,-22.22,-9.7
22,Airline,BA,20130101,20131231,8041.98,3281.17,80.42,32.81,-47.61,-49.12,-32.23,16.89
23,Airline,BA,20140101,20141231,-521.72,3931.02,-5.22,39.31,44.53,-15.67,-26.1,-10.44
24,Airline,BA,20150101,20151231,1306.53,3681.36,13.07,36.81,23.75,-19.46,-32.89,-13.43
25,Airline,BA,20160101,20161231,2270.6,4092.84,22.71,40.93,18.22,-35.51,-33.76,1.75
26,Airline,BA,20170101,20171231,9043.4,6034.88,90.43,60.35,-30.09,-48.68,-39.12,9.56
27,Airline,BA,20180101,20181231,287.39,5690.87,2.87,56.91,54.03,-23.23,-42.51,-19.28
28,Airline,BA,20190101,20191231,-387.68,4801.72,-3.88,48.02,51.89,-26.89,-35.58,-8.69
29,Airline,BA,20200101,20201231,-3407.7,10633.88,-34.08,106.34,140.42,-71.42,-58.91,12.51
30,Airline,BA,20210101,20211231,-218.56,4713.77,-2.19,47.14,49.32,-31.38,-36.96,-5.57
31,Airline,GD,20120101,20121231,2.48,2112.63,0.02,21.13,21.1,-15.93,-18.67,-2.73
32,Airline,GD,20130101,20131231,3618.33,3197.99,36.18,31.98,-4.2,-33.03,-29.3,3.74
33,Airline,GD,20140101,20141231,4876.75,5627.3,48.77,56.27,7.51,-36.26,-36.64,-0.38
34,Airline,GD,20150101,20151231,112.63,1258.15,1.13,12.58,11.46,-14.13,-15.91,-1.78
35,Airline,GD,20160101,20161231,3394.11,3515.83,33.94,35.16,1.22,-32.12,-28.68,3.44
36,Airline,GD,20170101,20171231,1758.85,1588.02,17.59,15.88,-1.71,-19.36,-16.43,2.93
37,Airline,GD,20180101,20181231,-2227.07,2956.66,-22.27,29.57,51.84,-34.64,-24.65,9.99
38,Airline,GD,20190101,20191231,1227.17,3792.12,12.27,37.92,25.65,-18.42,-29.94,-11.51
39,Airline,GD,20200101,20201231,-1582.53,4776.74,-15.83,47.77,63.59,-40.67,-35.29,5.39
40,Airline,GD,20210101,20211231,3993.43,2553.54,39.93,25.54,-14.4,-30.8,-23.75,7.04
41,Airline,LMT,20120101,20121231,1805.74,1819.34,18.06,18.19,0.14,-17.95,-17.25,0.7
42,Airline,LMT,20130101,20131231,6258.1,4251.54,62.58,42.52,-20.07,-44.49,-35.94,8.55
43,Airline,LMT,20140101,20141231,3466.77,4815.47,34.67,48.15,13.49,-28.29,-33.66,-5.37
