,Sector,Stock,CAGR_Performance(in %),MDD_Performance(in %)
0,Airline,BA,31.729239781987484,11.521621496332967
1,Airline,GD,13.517523723635463,6.7549851080164345
2,Airline,LMT,19.493677118980084,6.762484046279923
3,BlockChain,FB,40.84981634277069,4.9813432879476345
4,BlockChain,NVDA,41.63974800939259,12.211258076444205
5,Cloud Computing,AMZN,28.91673201584492,7.120453770986924
6,Cloud Computing,CRM,17.174196175824772,7.82462078801206
7,Cloud Computing,GOOG,18.473604142126682,6.269085260227365
8,Cloud Computing,IBM,8.597467511950692,8.17777970798804
9,Energy & Resources,DD,25.725078184896688,6.934927815739959
10,Entertainment,DIS,12.293431463300113,5.4704874858949575
11,Entertainment,FB,40.84981634277069,4.9813432879476345
12,Entertainment,NFLX,82.60265581456233,5.831488824027867
13,Franchise,DPZ,19.082356972319946,4.44481988493615
14,Franchise,MCD,14.15361908959448,6.19162991080547
15,Franchise,SBUX,14.507125671134693,3.552979969921962
16,Franchise,YUM,17.274672073243394,3.9362715014761536
17,Luxury goods,EL,18.0689457357091,5.757342310145409
18,Luxury goods,PVH,30.23089282426804,13.79803091541895
19,Luxury goods,RACE,21.309741708117127,8.161500576895568
20,Real Estate,AVB,15.442137928717122,5.97976508536836
21,Real Estate,EQR,20.672575921691404,7.00708620917833
22,Real Estate,HST,16.06500618765906,8.99272748497627
23,Real Estate,PLD,18.265115592819214,7.972878431042986
24,Real Estate,SPG,12.407928532845055,3.743673393365195
25,Retail,BBY,63.27902307957008,10.836636053332278
26,Retail,COST,14.490701452014966,6.522733870307537
27,Retail,HD,16.912301665327746,6.418846877601556
28,Retail,TGT,16.64096737687131,5.7340383010662945
29,Retail,WMT,9.837405532916065,5.437531390166646
30,Semiconductors,AMD,85.9764078105151,18.199116148083363
31,Semiconductors,INTC,7.554933109281266,8.100600800763688
32,Semiconductors,MU,51.24627512596125,10.078256651964026
33,Semiconductors,NVDA,41.63974800939259,12.211258076444205
34,Semiconductors,QCOM,23.51940404573778,9.409572886415297
35,Social Media,FB,40.84981634277069,4.9813432879476345
36,Social Media,SNAP,7.855956338982553,16.9988470197246
37,Social Media,TWTR,40.75353273030451,16.56585454079163
38,Telecommunication,CHTR,21.785047405874298,8.850143932109106
39,Telecommunication,CMCSA,16.282582426513013,9.739905885924498
40,Telecommunication,T,13.040888262180099,6.2347864361790215
41,Telecommunication,TMUS,36.90490753273878,6.059787832212327
42,Telecommunication,VZ,10.395978160075265,3.981012075196098
43,Traveling,BKNG,29.464108513175663,10.857875789797315
44,Traveling,MAR,16.882480493667025,7.155268122492819
