,Sector,Stock,CAGR_Performance(in %),MDD_Performance(in %)
0,Airline,BA,29.893465124385582,11.861239194877374
1,Airline,GD,14.385492526781809,8.848009999563798
2,Airline,LMT,11.004978310703189,4.083687059508845
3,BlockChain,FB,24.457752690438806,8.353222930901183
4,BlockChain,NVDA,68.19601405751904,13.06966261815434
5,Cloud Computing,AMZN,34.316614260234275,14.08274121043201
6,Cloud Computing,CRM,19.418397388632698,8.85498164876698
7,Cloud Computing,GOOG,11.728830717509739,6.336641855115373
8,Cloud Computing,IBM,11.395350555630761,7.38170905491598
9,Energy & Resources,DD,25.584802408572834,6.10253616286275
10,Entertainment,DIS,16.033071475933145,6.432904254134142
11,Entertainment,FB,24.457752690438806,8.353222930901183
12,Entertainment,NFLX,80.41389426259738,6.787073147149801
13,Franchise,DPZ,13.7901362264068,9.3568383447361
14,Franchise,MCD,15.927191484107567,9.659858029125331
15,Franchise,SBUX,22.089527253558742,10.029369965494437
16,Franchise,YUM,16.440496169085478,9.198335770800115
17,Luxury goods,EL,17.21550934200792,5.773101007092742
18,Luxury goods,PVH,32.24489099435902,9.077980161331253
19,Luxury goods,RACE,32.60361687502375,7.4680586500107236
20,Real Estate,AVB,13.26441785199716,7.1035383537260595
21,Real Estate,EQR,15.709454387178988,7.05941789047659
22,Real Estate,HST,14.373691079124223,8.952280635202886
23,Real Estate,PLD,9.284366275780869,5.553869093232382
24,Real Estate,SPG,12.6914954651868,5.523337931428956
25,Retail,BBY,87.62354434630868,10.825104200532252
26,Retail,COST,10.836993520872317,3.8205621625744084
27,Retail,HD,20.746989225060148,5.606438050941757
28,Retail,TGT,15.73087939902492,11.212870368677322
29,Retail,WMT,14.779873058285974,8.722302284538019
30,Semiconductors,AMD,153.05928468593936,12.400589847722106
31,Semiconductors,INTC,13.906541454944692,9.00192915832093
32,Semiconductors,MU,57.24243514170568,6.027344436182568
33,Semiconductors,NVDA,68.19601405751904,13.06966261815434
34,Semiconductors,QCOM,22.745802124473744,9.586900785272926
35,Social Media,FB,24.457752690438806,8.353222930901183
36,Social Media,SNAP,31.621815254662405,24.67802666341051
37,Social Media,TWTR,23.15994962573681,6.74194927302186
38,Telecommunication,CHTR,30.553485733647324,10.957402151274813
39,Telecommunication,CMCSA,16.521643380729415,8.307492028857075
40,Telecommunication,T,12.952671355287883,5.093835677047494
41,Telecommunication,TMUS,34.33370473677988,12.269885705991527
42,Telecommunication,VZ,8.842665241398013,4.52335000172386
43,Traveling,BKNG,21.14974028884786,7.5824091535229465
44,Traveling,MAR,15.459333134142007,7.153812170544357
